channel_number,cycle_number,marker_name,filter,excitation_wavelength,emission_wavelength,background
1,1,DNA_6,DAPI,395,431,21
2,1,ELANE,FITC,485,525,21
3,1,CD57,Sytox,555,590,21
4,1,CD45,Cy5,640,690,21
